"GAME_ID","INN_CT","BAT_HOME_ID","OUTS_CT","BALLS_CT","STRIKES_CT","PITCH_SEQ_TX","BAT_ID","BAT_HAND_CD","RESP_BAT_ID","RESP_BAT_HAND_CD","PIT_ID","PIT_HAND_CD","RESP_PIT_ID","RESP_PIT_HAND_CD","EVENT_TX","PH_FL","BAT_LINEUP_ID","EVENT_CD","BAT_EVENT_FL","AB_FL","REMOVED_FOR_PH_BAT_ID","REMOVED_FOR_PH_BAT_FLD_CD"
"ARI201908060",1,0,0,1,1,"CBX","dickc002","L","dickc002","L","leakm001","R","leakm001","R","HR/F8RXD+","F",1,23,"T","T","",0
"ARI201908060",1,0,0,1,1,"FBX","hoskr001","R","hoskr001","R","leakm001","R","leakm001","R","53/G5","F",2,2,"T","T","",0
"ARI201908060",1,0,1,1,0,"BX","harpb003","L","harpb003","L","leakm001","R","leakm001","R","43/G34","F",3,2,"T","T","",0
"ARI201908060",1,0,2,1,0,"BX","realj001","R","realj001","R","leakm001","R","leakm001","R","S7/L78S+","F",4,20,"T","T","",0
"ARI201908060",1,0,2,0,2,"CSFFX","seguj002","R","seguj002","R","leakm001","R","leakm001","R","S8/L8LM.1-2","F",5,20,"T","T","",0
"ARI201908060",1,0,2,1,2,"SBFFX","hernc005","L","hernc005","L","leakm001","R","leakm001","R","43/G4","F",6,2,"T","T","",0
"ARI201908060",1,1,0,1,1,"BCX","dysoj001","L","dysoj001","L","arrij001","R","arrij001","R","7/F7LM","F",1,2,"T","T","",0
"ARI201908060",1,1,1,2,1,"BCBX","martk001","L","martk001","L","arrij001","R","arrij001","R","43/G34","F",2,2,"T","T","",0
"ARI201908060",1,1,2,3,2,"BBFSBB","escoe001","L","escoe001","L","arrij001","R","arrij001","R","W","F",3,14,"T","F","",0
"ARI201908060",1,1,2,0,0,"X","perad001","L","perad001","L","arrij001","R","arrij001","R","63/G6","F",4,2,"T","T","",0
"ARI201908060",2,0,0,1,0,"BX","kings001","R","kings001","R","leakm001","R","leakm001","R","S3/G4S","F",7,20,"T","T","",0
"ARI201908060",2,0,0,2,1,"CBBX","hasea001","L","hasea001","L","leakm001","R","leakm001","R","6(1)3/GDP/G4M+","F",8,2,"T","T","",0
"ARI201908060",2,0,2,1,2,"CBSC","arrij001","R","arrij001","R","leakm001","R","leakm001","R","K","F",9,3,"T","T","",0
"ARI201908060",2,1,0,3,2,"CBCBFFBX","walkc002","R","walkc002","R","arrij001","R","arrij001","R","3/L34+","F",5,2,"T","T","",0
"ARI201908060",2,1,1,0,2,"CSFC","lambj001","L","lambj001","L","arrij001","R","arrij001","R","K","F",6,3,"T","T","",0
"ARI201908060",2,1,2,1,2,"CBCX","ahmen001","R","ahmen001","R","arrij001","R","arrij001","R","3/G34S","F",7,2,"T","T","",0
"ARI201908060",3,0,0,1,2,"CBFX","dickc002","L","dickc002","L","leakm001","R","leakm001","R","S8/L6MD+","F",1,20,"T","T","",0
"ARI201908060",3,0,0,2,0,"BB1X","hoskr001","R","hoskr001","R","leakm001","R","leakm001","R","14(1)3/GDP/G13+","F",2,2,"T","T","",0
"ARI201908060",3,0,2,3,1,"BBBFX","harpb003","L","harpb003","L","leakm001","R","leakm001","R","S9/L4D+","F",3,20,"T","T","",0
"ARI201908060",3,0,2,1,0,"BX","realj001","R","realj001","R","leakm001","R","leakm001","R","64(1)/FO/G6+","F",4,2,"T","T","",0
"ARI201908060",3,1,0,3,1,"CBBBB","avila001","L","avila001","L","arrij001","R","arrij001","R","W","F",8,14,"T","F","",0
"ARI201908060",3,1,0,2,2,"CLBFF*BS","leakm001","R","leakm001","R","arrij001","R","arrij001","R","K","F",9,3,"T","T","",0
"ARI201908060",3,1,1,1,1,"FBX","dysoj001","L","dysoj001","L","arrij001","R","arrij001","R","1/DP.1X1(13)","F",1,2,"T","T","",0
"ARI201908060",4,0,0,0,1,"CX","seguj002","R","seguj002","R","leakm001","R","leakm001","R","S6/G6.B-2(E6/TH)","F",5,20,"T","T","",0
"ARI201908060",4,0,0,2,2,"BBSSFFX","hernc005","L","hernc005","L","leakm001","R","leakm001","R","31/G3.2-3","F",6,2,"T","T","",0
"ARI201908060",4,0,1,3,2,"BFBSBB","kings001","R","kings001","R","leakm001","R","leakm001","R","W","F",7,14,"T","F","",0
"ARI201908060",4,0,1,2,2,"BFSBX","hasea001","L","hasea001","L","leakm001","R","leakm001","R","S7/L78S+.3-H(UR);1-2","F",8,20,"T","T","",0
"ARI201908060",4,0,1,1,0,"BX","arrij001","R","arrij001","R","leakm001","R","leakm001","R","5/BP5S","F",9,2,"T","T","",0
"ARI201908060",4,0,2,1,2,"FFBS","dickc002","L","dickc002","L","leakm001","R","leakm001","R","K","F",1,3,"T","T","",0
"ARI201908060",4,1,0,1,1,"BCX","martk001","L","martk001","L","arrij001","R","arrij001","R","S7/L7S+","F",2,20,"T","T","",0
"ARI201908060",4,1,0,0,1,"S1X","escoe001","L","escoe001","L","arrij001","R","arrij001","R","HR/F89D+.1-H","F",3,23,"T","T","",0
"ARI201908060",4,1,0,2,1,"BCBX","perad001","L","perad001","L","arrij001","R","arrij001","R","8/F8RD+","F",4,2,"T","T","",0
"ARI201908060",4,1,1,2,2,"BCCBS","walkc002","R","walkc002","R","arrij001","R","arrij001","R","K","F",5,3,"T","T","",0
"ARI201908060",4,1,2,0,0,"X","lambj001","L","lambj001","L","arrij001","R","arrij001","R","S8/G4+","F",6,20,"T","T","",0
"ARI201908060",4,1,2,2,2,"BBCFS","ahmen001","R","ahmen001","R","arrij001","R","arrij001","R","K","F",7,3,"T","T","",0
"ARI201908060",5,0,0,0,0,"X","hoskr001","R","hoskr001","R","leakm001","R","leakm001","R","D8/F8LXD+","F",2,21,"T","T","",0
"ARI201908060",5,0,0,1,2,"SFBX","harpb003","L","harpb003","L","leakm001","R","leakm001","R","E3/TH/G34.2-H(NR);B-2","F",3,18,"T","T","",0
"ARI201908060",5,0,0,1,2,"BSSFX","realj001","R","realj001","R","leakm001","R","leakm001","R","8/F89XD+.2-3","F",4,2,"T","T","",0
"ARI201908060",5,0,1,1,2,"CBFFX","seguj002","R","seguj002","R","leakm001","R","leakm001","R","9/F9S","F",5,2,"T","T","",0
"ARI201908060",5,0,2,0,1,"FX","hernc005","L","hernc005","L","leakm001","R","leakm001","R","43/G34+","F",6,2,"T","T","",0
"ARI201908060",5,1,0,3,2,"BFCBBS","avila001","L","avila001","L","arrij001","R","arrij001","R","K","F",8,3,"T","T","",0
"ARI201908060",5,1,1,0,0,"X","leakm001","R","leakm001","R","arrij001","R","arrij001","R","S7/L6D","F",9,20,"T","T","",0
"ARI201908060",5,1,1,1,0,"BX","dysoj001","L","dysoj001","L","arrij001","R","arrij001","R","S9/L9S.1-3;B-2(TH)","F",1,20,"T","T","",0
"ARI201908060",5,1,1,2,2,"SBBFX","martk001","L","martk001","L","arrij001","R","arrij001","R","9/F3D-","F",2,2,"T","T","",0
"ARI201908060",5,1,2,0,0,"X","escoe001","L","escoe001","L","arrij001","R","arrij001","R","5/P5F","F",3,2,"T","T","",0
"ARI201908060",6,0,0,1,2,"BFFC","kings001","R","kings001","R","leakm001","R","leakm001","R","K","F",7,3,"T","T","",0
"ARI201908060",6,0,1,1,0,"BX","hasea001","L","hasea001","L","leakm001","R","leakm001","R","S7/G6+","F",8,20,"T","T","",0
"ARI201908060",6,0,1,1,2,".CS*BX","quinr003","L","quinr003","L","leakm001","R","leakm001","R","S8/L78M.1-2","T",9,20,"T","T","arrij001",1
"ARI201908060",6,0,1,0,2,".FFX","dickc002","L","dickc002","L","chafa001","L","chafa001","L","E3/TH/FO/G34S.2-3;1-2","F",1,18,"T","T","",0
"ARI201908060",6,0,1,1,2,"CFBS","hoskr001","R","hoskr001","R","chafa001","L","chafa001","L","K","F",2,3,"T","T","",0
"ARI201908060",6,0,2,1,2,"BCCS","harpb003","L","harpb003","L","chafa001","L","chafa001","L","K","F",3,3,"T","T","",0
"ARI201908060",6,1,0,1,2,".BSSFFS","perad001","L","perad001","L","suarr001","L","suarr001","L","K","F",4,3,"T","T","",0
"ARI201908060",6,1,1,2,0,"BBX","walkc002","R","walkc002","R","suarr001","L","suarr001","L","S7/L78S+","F",5,20,"T","T","",0
"ARI201908060",6,1,1,3,1,"BBBCB","lambj001","L","lambj001","L","suarr001","L","suarr001","L","W.1-2","F",6,14,"T","F","",0
"ARI201908060",6,1,1,3,2,"B*BFBSB","ahmen001","R","ahmen001","R","suarr001","L","suarr001","L","W.2-3;1-2","F",7,14,"T","F","",0
"ARI201908060",6,1,1,3,1,"BF*BBX","avila001","L","avila001","L","suarr001","L","suarr001","L","S9/G34.3-H;2-H;1-3","F",8,20,"T","T","",0
"ARI201908060",6,1,1,3,2,"..BBBCFFS","florw001","R","florw001","R","parkb001","R","parkb001","R","K+CSH(2425)/DP","T",9,3,"T","T","chafa001",1
"ARI201908060",7,0,0,3,0,".BBBX","realj001","R","realj001","R","lopey001","R","lopey001","R","9/F9S","F",4,2,"T","T","",0
"ARI201908060",7,0,1,0,1,"CX","seguj002","R","seguj002","R","lopey001","R","lopey001","R","43/G4M+","F",5,2,"T","T","",0
"ARI201908060",7,0,2,3,1,"CBBBX","hernc005","L","hernc005","L","lopey001","R","lopey001","R","31/G34","F",6,2,"T","T","",0
"ARI201908060",7,1,0,0,0,"X","dysoj001","L","dysoj001","L","parkb001","R","parkb001","R","S6/L6.B-2(E6/TH)","F",1,20,"T","T","",0
"ARI201908060",7,1,0,3,1,"BBFBX","martk001","L","martk001","L","parkb001","R","parkb001","R","43/G4.2-3","F",2,2,"T","T","",0
"ARI201908060",7,1,1,2,2,"BSBFX","escoe001","L","escoe001","L","parkb001","R","parkb001","R","S7/L7S+.3-H","F",3,20,"T","T","",0
"ARI201908060",7,1,1,1,0,"*BX","perad001","L","perad001","L","parkb001","R","parkb001","R","HR/F9D+.1-H","F",4,23,"T","T","",0
"ARI201908060",7,1,1,1,0,"...BX","walkc002","R","walkc002","R","efliz001","R","efliz001","R","D9/F9LD+","F",5,21,"T","T","",0
"ARI201908060",7,1,1,2,2,"FBBFC","lambj001","L","lambj001","L","efliz001","R","efliz001","R","K","F",6,3,"T","T","",0
"ARI201908060",7,1,2,0,0,"X","ahmen001","R","ahmen001","R","efliz001","R","efliz001","R","63/G6+","F",7,2,"T","T","",0
"ARI201908060",8,0,0,1,0,".....BX","kings001","R","kings001","R","scotr001","L","scotr001","L","D7/L7LS+","F",7,21,"T","T","",0
"ARI201908060",8,0,0,2,0,"BBX","hasea001","L","hasea001","L","scotr001","L","scotr001","L","D9/L3D+.2-H","F",8,21,"T","T","",0
"ARI201908060",8,0,0,1,2,"CS*BFC","millb002","L","millb002","L","scotr001","L","scotr001","L","K","F",9,3,"T","T","",0
"ARI201908060",8,0,1,2,2,"SBSFBS","dickc002","L","dickc002","L","scotr001","L","scotr001","L","K","F",1,3,"T","T","",0
"ARI201908060",8,0,2,2,1,".BBCX","hoskr001","R","hoskr001","R","hiray001","R","hiray001","R","53/G56+","F",2,2,"T","T","",0
"ARI201908060",8,1,0,3,1,"BBBCX","avila001","L","avila001","L","efliz001","R","efliz001","R","HR/F8LXD+","F",8,23,"T","T","",0
"ARI201908060",8,1,0,1,0,"BX","locat001","R","locat001","R","efliz001","R","efliz001","R","63/G6+","F",9,2,"T","T","",0
"ARI201908060",8,1,1,0,2,"CC.FS","jonea003","R","dysoj001","L","efliz001","R","efliz001","R","K","T",1,3,"T","T","dysoj001",8
"ARI201908060",8,1,2,1,1,"BCX","martk001","L","martk001","L","efliz001","R","efliz001","R","31/G34","F",2,2,"T","T","",0
"ARI201908060",9,0,0,1,2,"...FFBFX","harpb003","L","harpb003","L","brada001","R","brada001","R","63/G6M-","F",3,2,"T","T","",0
"ARI201908060",9,0,1,2,1,"BCBX","realj001","R","realj001","R","brada001","R","brada001","R","8/F89D","F",4,2,"T","T","",0
"ARI201908060",9,0,2,1,0,"BX","seguj002","R","seguj002","R","brada001","R","brada001","R","S7/G56","F",5,20,"T","T","",0
"ARI201908060",9,0,2,0,1,".FX","knapa001","L","knapa001","L","brada001","R","brada001","R","S9/L4D+.1-3","T",6,20,"T","T","efliz001",1
"ARI201908060",9,0,2,0,0,"X","kings001","R","kings001","R","brada001","R","brada001","R","43/G4","F",7,2,"T","T","",0
